symbol	price	datetime
SCTY	21.67	2016-03-28 11:55:00
SCTY	21.68	2016-03-28 11:56:00
SCTY	21.7	2016-03-28 11:57:00
SCTY	21.71	2016-03-28 11:58:00
SCTY	21.7	2016-03-28 11:59:00
SCTY	21.68	2016-03-28 12:00:00
SCTY	21.68	2016-03-28 12:01:00
SCTY	21.65	2016-03-28 12:02:00
SCTY	21.64	2016-03-28 12:03:00
SCTY	21.62	2016-03-28 12:04:00
SCTY	21.63	2016-03-28 12:05:00
SCTY	21.66	2016-03-28 12:06:00
SCTY	21.62	2016-03-28 12:07:00
SCTY	21.64	2016-03-28 12:08:00
SCTY	21.67	2016-03-28 12:09:00
SCTY	21.6	2016-03-28 12:10:00
SCTY	21.56	2016-03-28 12:11:00
SCTY	21.54	2016-03-28 12:12:00
SCTY	21.59	2016-03-28 12:13:00
SCTY	21.55	2016-03-28 12:14:00
SCTY	21.56	2016-03-28 12:15:00
SCTY	21.58	2016-03-28 12:16:00
SCTY	21.56	2016-03-28 12:17:00
SCTY	21.53	2016-03-28 12:18:00
SCTY	21.57	2016-03-28 12:19:00
SCTY	21.56	2016-03-28 12:20:00
SCTY	21.63	2016-03-28 12:21:00
SCTY	21.67	2016-03-28 12:22:00
SCTY	21.67	2016-03-28 12:23:00
SCTY	21.72	2016-03-28 12:24:00
SCTY	21.75	2016-03-28 12:25:00
SCTY	21.74	2016-03-28 12:26:00
SCTY	21.71	2016-03-28 12:27:00
SCTY	21.72	2016-03-28 12:28:00
SCTY	21.74	2016-03-28 12:29:00
SCTY	21.75	2016-03-28 12:30:00
SCTY	21.77	2016-03-28 12:31:00
SCTY	21.79	2016-03-28 12:32:00
SCTY	21.78	2016-03-28 12:33:00
SCTY	21.75	2016-03-28 12:34:00
SCTY	21.77	2016-03-28 12:35:00
SCTY	21.75	2016-03-28 12:36:00
SCTY	21.81	2016-03-28 12:37:00
SCTY	21.86	2016-03-28 12:39:00
SCTY	21.91	2016-03-28 12:40:00
SCTY	21.88	2016-03-28 12:41:00
SCTY	21.9	2016-03-28 12:42:00
SCTY	21.84	2016-03-28 12:44:00
SCTY	21.85	2016-03-28 12:45:00
SCTY	21.78	2016-03-28 12:46:00
SCTY	21.82	2016-03-28 12:47:00
SCTY	21.83	2016-03-28 12:48:00
SCTY	21.86	2016-03-28 12:49:00
SCTY	21.8	2016-03-28 12:50:00
SCTY	21.79	2016-03-28 12:51:00
SCTY	21.78	2016-03-28 12:52:00
SCTY	21.8	2016-03-28 12:53:00
SCTY	21.76	2016-03-28 12:54:00
SCTY	21.77	2016-03-28 12:55:00
SCTY	21.86	2016-03-28 12:56:00
SCTY	21.82	2016-03-28 12:57:00
SCTY	21.87	2016-03-28 12:58:00
SCTY	21.87	2016-03-28 12:59:00
SCTY	21.89	2016-03-28 13:00:00
SCTY	21.89	2016-03-28 13:01:00
SCTY	21.87	2016-03-28 13:02:00
SCTY	21.99	2016-03-28 13:03:00
SCTY	22.04	2016-03-28 13:04:00
SCTY	22.07	2016-03-28 13:05:00
SCTY	21.98	2016-03-28 13:06:00
SCTY	21.98	2016-03-28 13:07:00
SCTY	21.97	2016-03-28 13:08:00
SCTY	22.01	2016-03-28 13:10:00
SCTY	22.04	2016-03-28 13:11:00
SCTY	21.95	2016-03-28 13:12:00
SCTY	21.93	2016-03-28 13:13:00
SCTY	21.9	2016-03-28 13:14:00
SCTY	21.95	2016-03-28 13:15:00
SCTY	21.95	2016-03-28 13:16:00
SCTY	21.94	2016-03-28 13:17:00
SCTY	21.89	2016-03-28 13:18:00
SCTY	21.92	2016-03-28 13:19:00
SCTY	21.85	2016-03-28 13:20:00
SCTY	21.92	2016-03-28 13:21:00
